idx,AirQualityStation,img_path,s5p_path,Month,Altitude,rural,rural-nearcity,rural-regional,suburban,urban,background,industrial,traffic,o3,no2,pm10
11,STA_ES2063A_11,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,8,30,0,0,0,0,1,0,0,1,54.44207573626929,11.520336604291725,14.304734574892397
12,STA_ES2063A_12,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,9,30,0,0,0,0,1,0,0,1,39.351248164170336,13.684646737744565,20.31729428046025
13,STA_ES2063A_13,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,10,30,0,0,0,0,1,0,0,1,32.412395542729804,14.287689968130698,17.178639453959185
14,STA_ES2063A_14,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,11,30,0,0,0,0,1,0,0,1,38.36974789880953,21.56414565752101,21.420257233745986
15,STA_ES2063A_15,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,12,30,0,0,0,0,1,0,0,1,32.10435374096598,22.580952380054423,20.13592896035519
16,STA_ES2063A_16,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,13,30,0,0,0,0,1,0,0,1,37.532323232049066,22.32121212030303,22.95772005660895
17,STA_ES2063A_17,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,14,30,0,0,0,0,1,0,0,1,33.94303112269283,25.899864680947225,29.13799185792401
18,STA_ES1997A_18,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0,181,0,0,0,1,0,1,0,0,62.50392156857143,10.843478258246844,13.303571426785714
19,STA_ES1997A_19,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,1,181,0,0,0,1,0,1,0,0,52.32036262202232,10.416549787293128,8.393333331000001
20,STA_ES1997A_20,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,2,181,0,0,0,1,0,1,0,0,35.3583557948248,13.741081079256755,13.532258063548388
21,STA_ES1997A_21,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,3,181,0,0,0,1,0,1,0,0,44.415053763333326,15.29112903063172,13.783333331666666
22,STA_ES1997A_22,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,4,181,0,0,0,1,0,1,0,0,60.05626865665672,11.769104475641791,15.11851851777778
23,STA_ES1997A_23,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,5,181,0,0,0,1,0,1,0,0,76.66810228800807,8.113189768411845,8.92777777611111
24,STA_ES1997A_24,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,6,181,0,0,0,1,0,1,0,0,81.73055555555555,4.880833330611111,7.499999995714286
25,STA_ES1997A_25,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,7,181,0,0,0,1,0,1,0,0,84.75462962962963,5.507308966827242,8.458333332083333
26,STA_ES1997A_26,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,8,181,0,0,0,1,0,1,0,0,84.5020920502092,5.6575630215686274,10.573333330666664
27,STA_ES1997A_27,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,9,181,0,0,0,1,0,1,0,0,92.04413793103448,5.718810508506224,14.416129031290325
28,STA_ES1997A_28,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,10,181,0,0,0,1,0,1,0,0,84.82192151556157,7.825710416373479,9.49677419
29,STA_ES1997A_29,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,11,181,0,0,0,1,0,1,0,0,76.49986033518157,9.541340779567038,10.769999998
30,STA_ES1997A_30,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,12,181,0,0,0,1,0,1,0,0,58.938430311163735,9.670189699268292,8.970967738387097
31,STA_ES1997A_31,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,13,181,0,0,0,1,0,1,0,0,52.44028776978417,5.896978414906474,5.017241376551724
32,STA_ES1997A_32,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,14,181,0,0,0,1,0,1,0,0,39.809873060521866,9.725035358486563,9.742307690384616
33,STA-TR340741_33,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0,128,0,0,0,0,1,1,0,0,43.78677595203552,16.452493147068495,61.17335422789969
34,STA-TR340741_34,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,1,128,0,0,0,0,1,1,0,0,42.68870554354197,10.894218746434658,25.027538674472577
35,STA-TR340741_35,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,2,128,0,0,0,0,1,1,0,0,29.440953054125178,18.57578081810959,42.92771664002751
36,STA-TR340741_36,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,3,128,0,0,0,0,1,1,0,0,38.34385891670816,14.812346517407914,33.88550271398098
37,STA-TR340741_37,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,4,128,0,0,0,0,1,1,0,0,49.93881803600311,13.782507459179106,39.24751117366617
38,STA-TR340741_38,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,5,128,0,0,0,0,1,1,0,0,62.85449117625509,12.948746627196766,40.80772849083333
39,STA-TR340741_39,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,6,128,0,0,0,0,1,1,0,0,68.59917826905293,9.72963737422594,32.972666662986114
40,STA-TR340741_40,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,7,128,0,0,0,0,1,1,0,0,72.69611034122758,13.037489819755766,32.877888108209795
41,STA-TR340741_41,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,8,128,0,0,0,0,1,1,0,0,79.95568845278164,5.86287899566064,25.97860529631799
42,STA-TR340741_42,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,9,128,0,0,0,0,1,1,0,0,80.3805533028475,6.821906073494475,18.94384615067308
43,STA-TR340741_43,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,10,128,0,0,0,0,1,1,0,0,84.08523961271565,5.167601953964111,20.83151898397152
44,STA-TR340741_44,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,11,128,0,0,0,0,1,1,0,0,71.56999999626389,8.240986107291667,27.97531883705797
45,STA-TR340741_45,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,12,128,0,0,0,0,1,1,0,0,56.09015536300847,6.421612442942008,27.97193547976157
46,STA-TR340741_46,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,13,128,0,0,0,0,1,1,0,0,35.765148510777934,9.857881352245764,49.80601982631728
47,STA-TR340741_47,STA-TR340741/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR340741/l3_mean_monthly_europe_2018_2020_005dg.netcdf,14,128,0,0,0,0,1,1,0,0,25.80522301781296,6.72706474466187,49.8304604281295
74,STA_ES1661A_74,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0,383,1,0,0,0,0,1,0,0,65.7123473541384,8.610583446404341,11.511533242876526
75,STA_ES1661A_75,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,1,383,1,0,0,0,0,1,0,0,48.68296089385475,11.689944134078212,9.9792
76,STA_ES1661A_76,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,2,383,1,0,0,0,0,1,0,0,42.01280227596017,13.296969696969697,7.92318244170096
77,STA_ES1661A_77,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,3,383,1,0,0,0,0,1,0,0,60.36734693877551,9.7599451303155,8.492586490939045
78,STA_ES1661A_78,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,4,383,1,0,0,0,0,1,0,0,66.18045112781955,13.868012422360248,23.37142857142857
79,STA_ES1661A_79,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,5,383,1,0,0,0,0,1,0,0,83.41383989145183,8.65,13.73270013568521
80,STA_ES1661A_80,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,6,383,1,0,0,0,0,1,0,0,87.5672268907563,7.38655462184874,8.522408963585434
81,STA_ES1661A_81,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,7,383,1,0,0,0,0,1,0,0,87.07493188010899,5.4114441416893735,7.829700272479564
82,STA_ES1661A_82,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,8,383,1,0,0,0,0,1,0,0,90.5758426966292,9.228323699421964,18.32581100141044
83,STA_ES1661A_83,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,9,383,1,0,0,0,0,1,0,0,89.36271186440678,7.417549167927382,20.32876712328768
84,STA_ES1661A_84,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,10,383,1,0,0,0,0,1,0,0,78.17852161785216,7.367208672086721,14.701492537313433
85,STA_ES1661A_85,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,11,383,1,0,0,0,0,1,0,0,75.45874125874126,7.165266106442577,17.552447552447553
86,STA_ES1661A_86,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,12,383,1,0,0,0,0,1,0,0,59.21117166212534,9.464285714285714,15.315573770491802
87,STA_ES1661A_87,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,13,383,1,0,0,0,0,1,0,0,55.78323108384458,9.941176470588236,9.998601398601398
88,STA_ES1661A_88,STA_ES1661A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1661A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,14,383,1,0,0,0,0,1,0,0,47.13669064748201,10.165753424657536,15.184931506849315
89,STA-XK0009A_89,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0,510,0,0,0,0,1,1,0,0,10.387216317388363,33.61884164969086,56.39273792639786
90,STA-XK0009A_90,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,1,510,0,0,0,0,1,1,0,0,5.641221512114047,29.62234235733333,67.74071345416667
91,STA-XK0009A_91,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,2,510,0,0,0,0,1,1,0,0,9.9460839625,48.69388004047407,108.06973154221774
92,STA-XK0009A_92,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,3,510,0,0,0,0,1,1,0,0,23.85836464712365,67.70707095020161,87.44073135357527
93,STA-XK0009A_93,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,4,510,0,0,0,0,1,1,0,0,29.56312007114286,51.24539110890226,79.87200831206016
94,STA-XK0009A_94,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,5,510,0,0,0,0,1,1,0,0,42.92923374604839,35.11055820872312,35.90372749641129
95,STA-XK0009A_95,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,6,510,0,0,0,0,1,1,0,0,55.22727470411112,24.303431954416663,16.137552829791666
96,STA-XK0009A_96,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,7,510,0,0,0,0,1,1,0,0,56.04400912054896,17.92245652445104,7.17097250388724
97,STA-XK0009A_97,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,8,510,0,0,0,0,1,1,0,0,62.67332871631432,16.036056268873434,5.279232235702365
98,STA-XK0009A_98,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,9,510,0,0,0,0,1,1,0,0,69.44490983525537,19.09113198576613,4.44789439139785
99,STA-XK0009A_99,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,10,510,0,0,0,0,1,1,0,0,65.02810791531296,23.35455344633188,4.346661742882096
100,STA-XK0009A_100,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,11,510,0,0,0,0,1,1,0,0,46.93289964654545,20.83076520475,2.8920845669583333
101,STA-XK0009A_101,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,12,510,0,0,0,0,1,1,0,0,32.63719705868379,28.324244794378885,12.35090390764398
102,STA-XK0009A_102,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,13,510,0,0,0,0,1,1,0,0,32.79182528065041,19.13625164329412,12.193534074
103,STA-XK0009A_103,STA-XK0009A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TEN_20200710T123936.npy,STA-XK0009A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,14,510,0,0,0,0,1,1,0,0,30.84740815184375,21.56423924665625,49.8930240586875
104,STA_PL0243A_104,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0,291,1,0,0,0,0,1,0,0,55.29308936225067,8.243622469970015,24.93970243520436
105,STA_PL0243A_105,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,1,291,1,0,0,0,0,1,0,0,36.136837492684286,9.634944530681503,32.02866791822873
106,STA_PL0243A_106,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,2,291,1,0,0,0,0,1,0,0,38.23956629990592,14.13174710639785,27.590979417752354
107,STA_PL0243A_107,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,3,291,1,0,0,0,0,1,0,0,46.40056964559892,12.52566708908479,32.93147810005457
108,STA_PL0243A_108,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,4,291,1,0,0,0,0,1,0,0,55.53495550168155,12.675506886711313,30.49955896931548
109,STA_PL0243A_109,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,5,291,1,0,0,0,0,1,0,0,65.63688077627187,8.279897370312925,21.62811290784367
110,STA_PL0243A_110,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,6,291,1,0,0,0,0,1,0,0,80.61818358471488,5.701792749429764,26.24824846274756
111,STA_PL0243A_111,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,7,291,1,0,0,0,0,1,0,0,67.6769323512113,5.86079517742934,16.042612419461644
112,STA_PL0243A_112,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,8,291,1,0,0,0,0,1,0,0,81.46032932635475,4.22624608229805,18.84647980150628
113,STA_PL0243A_113,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,9,291,1,0,0,0,0,1,0,0,72.2178242065722,6.132488513086254,16.06329186370572
114,STA_PL0243A_114,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,10,291,1,0,0,0,0,1,0,0,70.62413365197581,6.301309821223118,16.42212926021828
115,STA_PL0243A_115,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,11,291,1,0,0,0,0,1,0,0,57.782119440097226,6.926575594791087,15.585146672378304
116,STA_PL0243A_116,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,12,291,1,0,0,0,0,1,0,0,47.32246984795699,8.79153772498656,21.15723428443549
117,STA_PL0243A_117,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,13,291,1,0,0,0,0,1,0,0,31.06922911959666,10.948286407732963,22.25599638077886
118,STA_PL0243A_118,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,14,291,1,0,0,0,0,1,0,0,41.32733425638441,9.94711152446844,24.00279253700269
119,STA_PL0243A_119,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,16,291,1,0,0,0,0,1,0,0,61.506283424884735,6.533204015922191,17.8607328481042
120,STA_PL0243A_120,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,20,291,1,0,0,0,0,1,0,0,56.00490194577994,3.8609605259135287,14.771178981382228
121,STA_PL0243A_121,STA_PL0243A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0243A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,25,291,1,0,0,0,0,1,0,0,31.53512320476389,12.467884021894152,25.48136261868898
